,x,Aceria.fraxinivora,nicht.gerade,gruene.hoehe,tot,manuell.checken,mehr.ressourcen
28,ets?,FALSE,FALSE,,FALSE,FALSE,FALSE
29,spitze abgestolrben,FALSE,FALSE,,FALSE,TRUE,FALSE
30,kriechend,FALSE,TRUE,,FALSE,FALSE,FALSE
31,lebt bis 3 cm ,FALSE,FALSE,3,FALSE,FALSE,FALSE
32,stark gekrümmt,FALSE,TRUE,,FALSE,FALSE,FALSE
33,umgefahren,FALSE,TRUE,,FALSE,FALSE,FALSE
34,es wurde kurz auf die Fläche gefahren,FALSE,FALSE,,FALSE,TRUE,FALSE
35,frisch abgestorben,FALSE,FALSE,,TRUE,FALSE,FALSE
36,stark umgeknickz,FALSE,TRUE,,FALSE,FALSE,FALSE
37,"komischer PLot, viele halb verfaulte, vielleicht Rückegasse",FALSE,FALSE,,FALSE,TRUE,FALSE
38,umgeklnickt,FALSE,TRUE,,FALSE,FALSE,FALSE
39,frisch agbetsorben,FALSE,FALSE,,TRUE,FALSE,FALSE
40,t angenagt,FALSE,FALSE,,FALSE,FALSE,FALSE
41,"grüne Höhe 6cm, viele frisch tote Eschen",FALSE,FALSE,6,FALSE,FALSE,FALSE
42,grüne Höhe 9,FALSE,FALSE,9,FALSE,FALSE,FALSE
43,krebs galle,TRUE,FALSE,,FALSE,FALSE,FALSE
44,matschig,FALSE,FALSE,,FALSE,FALSE,FALSE
45,leicht ausgegraben,FALSE,FALSE,,FALSE,FALSE,FALSE
46,Krebs/Galle,TRUE,FALSE,,FALSE,FALSE,FALSE
47,Krebs/galle,TRUE,FALSE,,FALSE,FALSE,FALSE
48,Von Wildschwein ausgegraben,FALSE,FALSE,,FALSE,FALSE,FALSE
49,Im Loch,FALSE,FALSE,,FALSE,FALSE,FALSE
50,Krebs,TRUE,FALSE,,FALSE,FALSE,FALSE
51,Krebs die Blätter auch,TRUE,FALSE,,FALSE,FALSE,FALSE
52,kein  Fehler,FALSE,FALSE,,FALSE,FALSE,FALSE
53,"Keine Bäume, im Loch",FALSE,FALSE,,FALSE,FALSE,FALSE
54,krebs,TRUE,FALSE,,FALSE,FALSE,FALSE
55,Abgebrochen/Krebs,TRUE,TRUE,,FALSE,FALSE,FALSE
56,KREBS,TRUE,FALSE,,FALSE,FALSE,FALSE
57,KREBS ABGENAGT,TRUE,FALSE,,FALSE,FALSE,FALSE
58,Baumstämme,FALSE,FALSE,,FALSE,FALSE,FALSE
59,"Krebs, ganze Pflanze umgefahren",TRUE,TRUE,,FALSE,FALSE,FALSE
60,KEIN feHLER,FALSE,FALSE,,FALSE,FALSE,FALSE
61,ZAUN,FALSE,FALSE,,FALSE,FALSE,FALSE
62,KEINE BLÄTTER,FALSE,FALSE,,FALSE,FALSE,FALSE
63,LIEGEND,FALSE,TRUE,,FALSE,FALSE,FALSE
64,Liegend,FALSE,TRUE,,FALSE,FALSE,FALSE
65,Kein Fehler,FALSE,FALSE,,FALSE,FALSE,FALSE
66,liegend,FALSE,TRUE,,FALSE,FALSE,FALSE
67,liegebd,FALSE,TRUE,,FALSE,FALSE,FALSE
68,Krebs+T1,TRUE,FALSE,,FALSE,TRUE,FALSE
69,abgebrochen 40cm,FALSE,FALSE,40,FALSE,TRUE,FALSE
70,Krebs und einer von uns abgebrochen,TRUE,FALSE,,FALSE,FALSE,FALSE
71,Abgebrochen,FALSE,FALSE,,FALSE,FALSE,FALSE
72,Viel Astmaterial,FALSE,FALSE,,FALSE,FALSE,FALSE
73,abgebrochen,FALSE,FALSE,,FALSE,FALSE,FALSE
74,Umgeknickt,FALSE,TRUE,,FALSE,FALSE,FALSE
75,galle nekrose,TRUE,FALSE,,FALSE,FALSE,FALSE
76,frisch gestorben,FALSE,FALSE,,TRUE,FALSE,FALSE
77,angenagt,FALSE,FALSE,,FALSE,FALSE,FALSE
78,galle krebs,TRUE,FALSE,,FALSE,FALSE,FALSE
79,tote Höhe 92,FALSE,FALSE,,FALSE,TRUE,FALSE
80,leicht schief,FALSE,TRUE,,FALSE,FALSE,FALSE
81,markiert?,FALSE,FALSE,,FALSE,TRUE,FALSE
82,stark kriechend,FALSE,TRUE,,FALSE,FALSE,FALSE
83,liegend umgeknickz,FALSE,TRUE,,FALSE,FALSE,FALSE
84,stockausschlag,FALSE,FALSE,,FALSE,FALSE,TRUE
85,stockausschag mehrere,FALSE,FALSE,,FALSE,FALSE,TRUE
86,eschenzwieselmotte,FALSE,FALSE,,FALSE,FALSE,FALSE
87,Hälfte lebt noch,FALSE,FALSE,,FALSE,TRUE,FALSE
88,krebs gale,TRUE,FALSE,,FALSE,FALSE,FALSE
89,oberer Teil tot,FALSE,FALSE,,FALSE,TRUE,FALSE
