"","x"
"86","in der mitte buddelaktin"
"87","no alter Stuben"
"88","was draufgefallen"
"89","tot, vielleicht ets aber man weißes nicht"
"90","sw ecke steht 74"
"91","sw quadrant hat einen alten stubben"
"92","totholz hat terminaltrieb herunter gedrückt"
"93","48 steht im Westen"
"94","der markierte Pfahl musste komplett neu gesetz werden, Baum 71 steht 40 cm nördlich der Nordkante des Plots"
"95","beide Pflöcke mussten neu gesetzt werden, hat aber relativ gut geklappt"
"96","ziemlich sicher tot, aber wir haben den Faden nicht gefunden, nur ist da halt auch sonst keine Esche+"
"97","beide pflöcke neu gesetzt, pflöcke nicht gefunden"
"98","so ecke von viel totholz dominiert"
"99","nicht gefunden aber ziemlich sicher tot"
"100","49 genau auf no ecke"
"101","Gesamte Wurzel abgefresse, Engerling, tot"
"102","großteils abgeknickt"
"103","wurzeln ausgegraben"
"104","wächst auf einem Stubben"
"105","schildkröte, Totes Stammholz liegt auf dem Plot"
"106","tot, unter Laub begraben"
"107","liegend, halb ausgegraben"
"108","relativ viel totholz"
"109","komplett tot, vermutlich ets"
"110","überfahren"
"111","seltsamerweise hatte der Plot letztes Jahr keine Bäume, vergessen oder ausgelassen?"
"112","baum 22 steht auf dem nordwest quadranten, keine Bäume"
"113","übersprungen wegen zaun"
"114","baum nummer 12 steht im südwest quadrant, tot"
"115","letztes jahr als nw mit 21cm"
"116","fallen aaus wegen Zaun "
"117","baum 64 in nw ecke"
"118","gekappter Bah liegt über dem Plot, wieder ausgetrieben"
"119","von totholz bedeckt, jetzt aber ausgegraben, höhe nicht gut zu messem"
"120","plot von ein nisschen totholz bedeckt"
"121","baum nummer 60 liegt auf der südkaNTE"
"122","baum 72 steht genau in der mitte"
"123","baum 86 auf südkante"
"124","Baum 82 steht 10 cm östlich der Ostkante mittig"
"125","untere Teil liegend"
"126","tot an ets"
"127","baum 56 steht mittig auf der südkante"
"128","haupttrieb umgegnickt"
"129","ein Trieb unter Totholz"
"130","komplett tot"
"131","Baum nummer 88 steht 20 cm östlich der Ostkante"
"132","liegend unter Totholz"
"133","komplet Tot"
"134","Baum 95 10cm westlich von Westkante"
"135","vielleicht SO Ecke alte Höhe 38"
"136","vielleich No Ecke alte Höhe 91"
"137","vielleicht SW Ecke alte Höhe 46"
"138","vielleicht nw Ecke alte Höhe 109"
"139","vielleicht NO Ecke alte Höhe 63"
"140","vielleicht SO Ecke alteHöhe 137"
"141","vielleicht SW Ecke alte Höhe 60"
"142","vieleich NW Ecke alte Höhe 102"
"143","großer Haufen totholz auf dem plot, keine Bäume"
"144","komplet tot"
"145","liegt nuerdings unter totholz"
"146","stark kriechend"
"147","ja die esche ist markiert, das war im alten Atensatz mit fragezeichen"
"148","ast liegt drauf"
"149","teilweise kriechend"
"150","teilweise stubben auf dem Plot"
"151","komplett tot, stubben von Baumnummer 3 steht auf der süd ost ecke"
"152","foto gemacht"
"153","abgebrochen"
"154","frisch abgestorben unten am Trieb"
"155","keine bäume"
"156","kreichend zur hälfte"
"157","evtl auch Vertrocknet?"
"158","aus altem stump"
"159","keine Bäume aber Buche nummer 9 am PLot"
"160","Rand"
