"","x"
"248","Wahrscheinlich dieses Jahr abgestorben, (2022), wächst im Bogen darum alle Höhen gleich"
"249","War von Totholzasst niedergedrückt"
"250","Wurzelaustrieb?"
"251","wurzelbrut"
"252","wurzelbrut-Busch"
"253","Wurzelbrut-Busch"
"254","Wurzelbrut-Büschel"
"255","wurzelbrut, aber einzeln"
"256","Zerlatscht von Bärlauchdieben, Daten aber brauchbar"
"257","zwei mal aceria fraxinivora"
