Bemerkungen,Johannistrieb,nicht.gerade,Referenz,mehr.ressourcen,Flaeche.bedeckt,Pseudomonas syringae,gruene.Hoehe,tot,keine.baeume,von Nekrose bedroht,Foto,KONTROLLIEREN,Bärlauchdiebe,tote Hooehe
abgerissen,F,F,F,F,F,F,,T,F,,F,F,F,
abgestorben,F,F,F,F,F,F,,T,F,,F,F,F,
aceria fraxibiflora,F,F,F,F,F,T,,F,F,,F,F,F,
aceria fraxini,F,F,F,F,F,T,,F,F,,F,F,F,
aceria fraxiniflora,F,F,F,F,F,T,,F,F,,F,F,F,
aceria fraxinivora,F,F,F,F,F,T,,F,F,,F,F,F,
Aceria fraxinivora,F,F,F,F,F,T,,F,F,,F,F,F,
aceriaformes fraxinivora,F,F,F,F,F,T,,F,F,,F,F,F,
Alle Faulbäume aus Wurzelbrut eines älteren Baumes (8 Zeilen später)(Absenker),F,F,F,T,F,F,,F,F,,F,T,F,
Alle Quadranten sahen in etwa gleich aus und wren ausschließlich mit Pfaffenhütchen bedeckt. Darum wurde nur ein Quadrant aufgenommen.,F,F,F,F,F,F,,F,F,,F,T,F,
alles darüber ist tot,F,F,F,F,F,F,,F,F,,F,F,F,
alte erle in mitte plot,F,F,F,F,T,F,,F,F,,F,F,F,
"Alter, stark verrotteter Stubben bedeckt den gesamten Quadranten.",F,F,F,F,F,F,,F,F,,F,F,F,
"Am Trieb ein Schaden, aber wahrscheinlich kein ETS",F,F,F,F,F,F,,F,F,,F,F,F,
An Grabenkante,F,F,F,F,F,F,,F,F,,F,F,F,
"An wegböschung, aber nicht auf dem weg",F,F,F,F,F,F,,F,F,,F,F,F,
auf dem plot wurde an meherern Bärlauch ausgegraben,F,F,F,F,F,F,,F,F,,F,F,T,
"auf dem plot wurden bärlauch zwiebeln ausgegraben, vielleicht sind dabei kleinerer bäume umgekommen",F,F,F,F,F,F,,F,F,,F,F,T,
auf dem Plot wurden Bärlauchzwiebeln geerntet,F,F,F,F,F,F,,F,F,,F,F,T,
Auf der Nordkante befindet ich Baum 335,F,F,T,F,F,F,,F,F,,F,F,F,
auf so-kante steht baum 136,F,F,T,F,F,F,,F,F,,F,F,F,
auf w-ecke steht baum 133,F,F,T,F,F,F,,F,F,,F,F,F,
aum 124 steht auf der nordecke,F,F,T,F,F,F,,F,F,,F,F,F,
Aus aabgestorbener Unterlage ausgetrieben,F,F,F,T,F,F,,F,F,,F,F,F,
Aus dickerem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
Aus Rhizom,F,F,F,T,F,F,,F,F,,F,F,F,
Aus Senkwurzel kommend,F,F,F,T,F,F,,F,F,,F,F,F,
aus stärkerem abgestorbenen Tirb wieder austreibend,F,F,F,T,F,F,,F,F,,F,F,F,
aus stärkerem älterem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
aus stärkerem Trieb ausgetrieben,F,F,F,T,F,F,,F,F,,F,F,F,
aus stärkerem Trieb neu ausgetrieben,F,F,F,T,F,F,,F,F,,F,F,F,
aus Wurzelbrut,F,F,F,T,F,F,,F,F,,F,F,F,
Ausläufer mit 14 cm. Abstand,F,F,F,T,F,F,,F,F,,F,F,F,
ausschlag aus älterem,F,F,F,T,F,F,,F,F,,F,F,F,
ausschlag aus liegendem,F,F,F,T,F,F,,F,F,,F,F,F,
ausschlag aus särkerem älterem,F,F,F,T,F,F,,F,F,,F,F,F,
AUSTRIEB AUS ABGEBROCHENER STÄRKERER Unterlage,F,F,F,T,F,F,,F,F,,F,F,F,
Austrieb aus abgestorbenem stärkeren Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
austrieb aus älterem ,F,F,F,T,F,F,,F,F,,F,F,F,
Austrieb aus älterem Rest,F,F,F,T,F,F,,F,F,,F,F,F,
Austrieb aus älterem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
Austrieb aus älterem Trieb (sonst 87 70 59),F,F,F,T,F,F,,F,F,,F,F,F,
"Austrieb aus älterem, , Plot dominiert von Stubben",F,F,F,T,T,F,,F,F,,F,F,F,
austrieb aus einem älteren stärkeren,F,F,F,T,F,F,,F,F,,F,F,F,
austrieb aus liegendem stamm,F,F,F,T,F,F,,F,F,,F,F,F,
Austrieb aus stärkerem abgebrochenen,F,F,F,T,F,F,,F,F,,F,F,F,
Austrieb aus stärkerem Stock,F,F,F,T,F,F,,F,F,,F,F,F,
"Austrieb aus stärkerer Unterlage, abgebrochen",F,F,F,T,F,F,,F,F,,F,F,F,
"Austrieb aus stärkerer, infizierter Unterlage",F,F,F,T,F,F,,F,F,,F,F,F,
"Bach fließt durch, sehr viel Totholz",F,F,F,F,T,F,,F,F,,F,F,F,
Bärlauch ernte im Plot,F,F,F,F,F,F,,F,F,,F,F,T,
Bärlauch wurde geerntet,F,F,F,F,F,F,,F,F,,F,F,T,
Bärlauch zwiebeln ausgegraben,F,F,F,F,F,F,,F,F,,F,F,T,
Baum 1068 steht im Plot,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 1077 im sw,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 1112 im no Quadranten,F,F,T,F,F,F,,F,F,,F,F,F,
baum 113 liegt auf der ost ecke des plots,F,F,T,F,F,F,,F,F,,F,F,F,
"baum 124 80cm nw der nw-kante, fläche unter schlagabraum",F,F,T,F,F,F,,F,F,,F,F,F,
"baum 140 im o-quadrant, stockausschlag",F,F,T,F,F,F,,F,F,,F,F,F,
Baum 141 steht im Plot,F,F,T,F,F,F,,F,F,,F,F,F,
"Baum 156 grade  außerhalb der Nordkante,aber anliegend",F,F,T,F,F,F,,F,F,,F,F,F,
"Baum 156 im Nordquadrant (Hbu), Totast über  ost und Südquadrant.",F,F,T,F,T,F,,F,F,,F,F,F,
baum 158 und 159 liegen im Plot,F,F,T,F,F,F,,F,F,,F,F,F,
baum 167 steht 40cm nordöstlich der no-kante,F,F,T,F,F,F,,F,F,,F,F,F,
baum 176 im n und o quadrant,F,F,T,F,F,F,,F,F,,F,F,F,
"Baum 181 ist 1m im NW des Plotes, keine Bäume",F,F,T,F,F,F,,F,F,,F,F,F,
Baum 186 steht im NW Quadranten,F,F,T,F,F,F,,F,F,,F,F,F,
baum 20 steht 40cm nw der nw kante,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 200 steht auf der so kante,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 202 füllt Quadrant Süd ganz und Ost zur hälfte,F,F,T,F,F,F,,F,F,,F,F,F,
"baum 209 liegt im plot, keinebaeume",F,F,T,F,F,F,,F,T,,F,F,F,
baum 236 nordwest 60cm vom orangenem nordstab,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 239 auf Westquadrant,F,F,T,F,F,F,,F,F,,F,F,F,
"Baum 279 grenzt an NO Plot an, ist aber nicht drin",F,F,T,F,F,F,,F,F,,F,F,F,
baum 297 steht 50cm östlich des so quadrsnten (mitte),F,F,T,F,F,F,,F,F,,F,F,F,
Baum 299 steht imPlot,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 395 liegt im so,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 53 im Plot,F,F,T,F,F,F,,F,F,,F,F,F,
"baum 78 10cm östlivh der ostkante, wurzelbrut",F,F,T,T,F,F,,F,F,,F,F,F,
Baum 87 steht auf der Südkante des SW Quadranten,F,F,T,F,F,F,,F,F,,F,F,F,
Baum 92 mittig auf SO Achse des Winkels,F,F,T,F,F,F,,F,F,,F,F,F,
"baum nummer 5 liegt im no quadrant, , sehr viele abgestorbene einjährige Bahs",F,F,T,F,F,F,,F,F,,F,T,F,
behaarteTriebe,F,F,F,F,F,F,,F,F,,F,F,F,
"behaarteTriebe, rote Knospe",F,F,F,F,F,F,,F,F,,F,F,F,
beide lebende Triebe mit endständigem Krebs,F,F,F,F,F,T,,F,F,,F,F,F,
bewurzelter Trieb aus West,F,F,F,T,F,F,,F,F,,F,F,F,
Bewurzelter Trieb aus west,F,F,F,T,F,F,,F,F,,F,F,F,
Birke liegt im Plot,F,F,F,F,T,F,,F,F,,F,F,F,
Birke liegt teilweise im sw Quadranten,F,F,F,F,T,F,,F,F,,F,F,F,
Bogenlampe,F,T,F,F,F,F,,F,F,,F,F,F,
bogenlampe,F,T,F,F,F,F,,F,F,,F,F,F,
Bogenwuchs,F,T,F,F,F,F,,F,F,,F,F,F,
"Buche und Esche liegen quer über Plot, Buche lebt noch.",F,F,F,F,T,F,,F,F,,F,F,F,
Bum 157 steht dichte by im Nordost,F,F,T,F,F,F,,F,F,,F,F,F,
cornus sanguinea steht an der grenze und überschirmt den plot,F,F,F,F,T,F,,F,F,,F,F,F,
"Das war eine Esche! Möge sie in Frieden ruhn. Ashes to ashes, dust to dust",F,F,F,F,F,F,,T,F,,F,F,F,
daten sind korrekt,F,F,F,F,F,F,,F,F,,F,F,F,
Die 318 Birke ist ca. 10cm im Süden des SW-Quadranten,F,F,T,F,F,F,,F,F,,F,F,F,
Direkt auf Zaun,F,F,F,F,F,F,,F,F,,F,T,F,
durch Astbruch runter gedrückt,F,T,F,F,F,F,,F,F,,F,F,F,
echter Eschenkrebs am Haupttrieb,F,F,F,F,F,T,,F,F,,F,T,F,
ehemals länger gewesen,F,F,F,F,F,F,,F,F,,F,F,F,
"eigendlich 34 cm länger aber liegt auf dem Boden und hat u8nter aufrechtem Teil Wurzeln ausgebildet, 118-1797 & 8 ",F,T,F,T,F,F,,F,F,,T,F,F,
"eigendlich 425 hoch, Terminaltrieb ist abgestorben",F,F,F,F,F,F,,F,F,,F,F,F,425
"eigentlich 370mm höher, aber abgestorben",F,F,F,F,F,F,,F,F,,F,F,F,370
eigentlich aelter,F,F,F,T,F,F,,F,F,,F,F,F,
ein Faulbaum liegt auf der Fläche und ist an beiden Enden fest gewachsen. Aber eher gerin dimensioniert,F,F,F,F,F,F,,F,F,,F,F,F,
"ein paar Faulbaumzweige sind auf dem Plot wieder angewachsen, aber keine komplette Krone",F,F,F,F,F,F,,F,F,,F,F,F,
ein Trieb der Esche wurde abgehackt,F,F,F,F,F,F,,F,F,,F,F,F,
ein trieb verpilzt,F,F,F,F,F,F,,F,F,,F,F,F,
Ein unterer Trieb mit Kallus,F,F,F,F,F,T,,F,F,,F,F,F,
Eine große Menge Kronenteile lag auf dem Plot,F,F,F,F,T,F,,F,F,,F,F,F,
Einer der abgestorbenen hat Krebs,F,F,F,F,F,T,,F,F,,F,F,F,
einmal aceria fraxinivora,F,F,F,F,F,T,,F,F,,F,F,F,
entspringt liegendem Ligusterast,F,F,F,T,F,F,,F,F,,F,F,F,
Erle ohne Nummer steht mittig auf dem Plot und füllt diesen fast zur gänze aus.,F,F,F,F,T,F,,F,F,,F,F,F,
Erster Trieb wuchs nach unten,F,F,F,F,F,F,,F,F,,F,F,F,
ETS mittig eingedrungen,F,F,F,F,F,F,,F,F,,F,F,F,
"Fast alle Ahornbäume tot, Mauseloch",F,F,F,F,F,F,,F,F,,F,T,F,
fast kompletter quadrant 20cm unter umgestürtzter Fichte,F,F,F,F,T,F,,F,F,,F,F,F,
"Faulbaum wächst bogenförmig über den Plot hinweg und produziert Absenker im Nordwesten, Foto 126-2086",F,F,F,F,F,F,,F,F,,T,T,F,
"Faulbaumast liegt über dem Plot, von totem Baum herunter gedrück",F,F,F,F,T,F,,F,F,,F,F,F,
Faulbaumknäuel über dem Plot,F,F,F,F,T,F,,F,F,,F,F,F,
Flächig recht viel Equisetum,F,F,F,F,F,F,,F,F,,F,F,F,
foto nr 108-1608 bis 108-1610,F,F,F,F,F,F,,F,F,,T,F,F,
frisch abgestorben,F,F,F,F,F,F,,T,F,,F,F,F,
Frische Triebe sind haarig,F,F,F,F,F,F,,F,F,,F,F,F,
Galle an Terninalknospe,F,F,F,F,F,T,,F,F,,F,F,F,
ganz t0t,F,F,F,F,F,F,,T,F,,F,F,F,
ganz tot,F,F,F,F,F,F,,T,F,,F,F,F,
gekrümmt hing unter Nachbarbaum,F,T,F,F,F,F,,F,F,,F,F,F,
genickt,F,T,F,F,F,F,,F,F,,F,F,F,
"Gestört, Bärlauchdiebe-Lager",F,F,F,F,F,F,,F,F,,F,F,T,
gh 135,F,F,F,F,F,F,135,F,F,,F,F,F,
GH 175mm,F,F,F,F,F,F,175,F,F,,F,F,F,
gh 53,F,F,F,F,F,F,53,F,F,,F,F,F,
gh 57,F,F,F,F,F,F,57,F,F,,F,F,F,
GH 62,F,F,F,F,F,F,62,F,F,,F,F,F,
GH 71,F,F,F,F,F,F,71,F,F,,F,F,F,
GH:,F,F,F,F,F,F,,F,F,,F,T,F,
GH: 105,F,F,F,F,F,F,105,F,F,,F,F,F,
GH: 154,F,F,F,F,F,F,154,F,F,,F,F,F,
GH: 188,F,F,F,F,F,F,188,F,F,,F,F,F,
GH: 32,F,F,F,F,F,F,32,F,F,,F,F,F,
GH: 474,F,F,F,F,F,F,474,F,F,,F,F,F,
GH: 50,F,F,F,F,F,F,50,F,F,,F,F,F,
GH: 65,F,F,F,F,F,F,65,F,F,,F,F,F,
"GH: 65, Toter Baum über Plot",F,F,F,F,T,F,65,F,F,,F,F,F,
GH: 68,F,F,F,F,F,F,68,F,F,,F,F,F,
GH: 74,F,F,F,F,F,F,74,F,F,,F,F,F,
GH: 91,F,F,F,F,F,F,91,F,F,,F,F,F,
GH: 96,F,F,F,F,F,F,96,F,F,,F,F,F,
GH:267,F,F,F,F,F,F,267,F,F,,F,F,F,
GrH 70mm,F,F,F,F,F,F,70,F,F,,F,F,F,
"großer Faulbaum überdeckt den Plot mit der liegenden Krone, Plot selbst liegt aber im Hohlraum",F,F,F,F,T,F,,F,F,,F,F,F,
gruen bis 28,F,F,F,F,F,F,28,F,F,,F,F,F,
grün bis 45,F,F,F,F,F,F,45,F,F,,F,F,F,
grün bis 50,F,F,F,F,F,F,50,F,F,,F,F,F,
grün bis 61,F,F,F,F,F,F,61,F,F,,F,F,F,
grün bis 77,F,F,F,F,F,F,77,F,F,,F,F,F,
Grüne H+he 35,F,F,F,F,F,F,35,F,F,,F,F,F,
"Grüne H+he: 255mm. Mittig am  Stamm b efallen, darüber wird noch absterben.",F,F,F,F,F,F,255,F,F,,F,T,F,
Grüne Höhe 100mm,F,F,F,F,F,F,100,F,F,,F,F,F,
Grüne Höhe 105,F,F,F,F,F,F,105,F,F,,F,F,F,
grüne Höhe 113 mm,F,F,F,F,F,F,113,F,F,,F,F,F,
grüne Höhe 125,F,F,F,F,F,F,125,F,F,,F,F,F,
grüne Höhe 126,F,F,F,F,F,F,126,F,F,,F,F,F,
"Grüne Höhe 142, liegt zur Hälfte",F,T,F,F,F,F,142,F,F,,F,F,F,
grüne höhe 1432,F,F,F,F,F,F,1432,F,F,,F,F,F,
Grüne Höhe 150,F,F,F,F,F,F,150,F,F,,F,F,F,
grüne Höhe 150,F,F,F,F,F,F,150,F,F,,F,F,F,
grüne Höhe 155,F,F,F,F,F,F,155,F,F,,F,F,F,
grüne höhe 158,F,F,F,F,F,F,158,F,F,,F,F,F,
grüne Höhe 158,F,F,F,F,F,F,158,F,F,,F,F,F,
Grüne Höhe 160,F,F,F,F,F,F,160,F,F,,F,F,F,
grüne Höhe 169,F,F,F,F,F,F,169,F,F,,F,F,F,
grüne Höhe 21,F,F,F,F,F,F,21,F,F,,F,F,F,
grüne Höhe 210,F,F,F,F,F,F,210,F,F,,F,F,F,
grüne höhe 237,F,F,F,F,F,F,237,F,F,,F,F,F,
"grüne Höhe 328, gesamthöhe Pflanze mind. 656",F,F,F,F,F,F,328,F,F,,F,T,F,
grüne höhe 362,F,F,F,F,F,F,362,F,F,,F,F,F,
grüne Höhe 41,F,F,F,F,F,F,41,F,F,,F,F,F,
grüne Höhe 45,F,F,F,F,F,F,45,F,F,,F,F,F,
grüne Höhe 47,F,F,F,F,F,F,47,F,F,,F,F,F,
grüne höhe 479,F,F,F,F,F,F,479,F,F,,F,F,F,
grüne Höhe 48,F,F,F,F,F,F,48,F,F,,F,F,F,
Grüne Höhe 4cm,F,F,F,F,F,F,4,F,F,,F,F,F,
grüne Höhe 52,F,F,F,F,F,F,52,F,F,,F,F,F,
Grüne Höhe 55,F,F,F,F,F,F,55,F,F,,F,F,F,
grüne höhe 554,F,F,F,F,F,F,554,F,F,,F,F,F,
grüne höhe 56,F,F,F,F,F,F,56,F,F,,F,F,F,
grüne Höhe 56,F,F,F,F,F,F,56,F,F,,F,F,F,
"grüne höhe 57, grüne länge 70",F,F,F,F,F,F,57,F,F,,F,T,F,
grüne Höhe 61,F,F,F,F,F,F,61,F,F,,F,F,F,
grüne Höhe 62,F,F,F,F,F,F,62,F,F,,F,F,F,
grüne Höhe 65,F,F,F,F,F,F,65,F,F,,F,F,F,
grüne höhe 65,F,F,F,F,F,F,65,F,F,,F,F,F,
grüne höhe 66,F,F,F,F,F,F,66,F,F,,F,F,F,
"grüne höhe 66, spitze außerdem abgeknickt",F,F,F,F,F,F,66,F,F,,F,F,F,
Grüne Höhe 70,F,F,F,F,F,F,70,F,F,,F,F,F,
grüne Höhe 71,F,F,F,F,F,F,71,F,F,,F,F,F,
grüne Höhe 73,F,F,F,F,F,F,73,F,F,,F,F,F,
grüne Höhe 74,F,F,F,F,F,F,74,F,F,,F,F,F,
grüne Höhe 75,F,F,F,F,F,F,75,F,F,,F,F,F,
grüne höhe 79,F,F,F,F,F,F,79,F,F,,F,F,F,
"grüne Höhe 800, wächst aus umgestürztem Stamm, , toter Baum quer durch den Plot",F,F,F,T,T,F,800,F,F,,F,F,F,
grüne Höhe 85,F,F,F,F,F,F,85,F,F,,F,F,F,
grüne höhe 87,F,F,F,F,F,F,87,F,F,,F,F,F,
grüne Höhe 90,F,F,F,F,F,F,90,F,F,,F,F,F,
Grüne Höhe 93,F,F,F,F,F,F,93,F,F,,F,F,F,
"grüne Höhe 94, liegend",F,T,F,F,F,F,94,F,F,,F,F,F,
"grüne höhe 95, 2 austriebe am bodensatz",F,F,F,F,F,F,95,F,F,,F,F,F,
Grüne Höhe 95mm,F,F,F,F,F,F,95,F,F,,F,F,F,
grüne Höhe 97,F,F,F,F,F,F,97,F,F,,F,F,F,
grüne höhe 98,F,F,F,F,F,F,98,F,F,,F,F,F,
grüne höhe b163,F,F,F,F,F,F,163,F,F,,F,F,F,
"Grüne Höhe ca 473, 2 lebende von nekrose bedroht",F,F,F,F,F,F,473,F,F,T2,F,F,F,
grüne Höhe: 170,F,F,F,F,F,F,170,F,F,,F,F,F,
grüne Höhe: 18 mm ,F,F,F,F,F,F,18,F,F,,F,F,F,
"Grüne Höhe: 366 mm, 127-2093",F,F,F,F,F,F,366,F,F,,T,F,F,
Grüne Höhe: 45,F,F,F,F,F,F,45,F,F,,F,F,F,
grüne Höhe128,F,F,F,F,F,F,128,F,F,,F,F,F,
"grüne höhe134, fast tot",F,F,F,F,F,F,134,F,F,,F,F,F,
habitatbaum ohne nummer bedeckt die hälfte des plots,F,F,F,F,T,F,,F,F,,F,F,F,
halb liegend,F,T,F,F,F,F,,F,F,,F,F,F,
"Hartriegel wurzelt außerhalb des Plots, breitet sich fächerartig aber über NW und SW Quadrant aus.",F,F,F,F,F,F,,F,F,,F,F,F,
hat einen knick,F,T,F,F,F,F,,F,F,,F,F,F,
hat liegende auslufer die im Westen anwurzeln und mit aufgenommen wurden,F,F,F,F,F,F,,F,F,,F,F,F,
Höhe stimmt so,F,F,F,F,F,F,,F,F,,F,F,F,
"höhe stimmt so, tote Höhe 124",F,F,F,F,F,F,,F,F,,F,F,F,124
Höhen korrekt,F,F,F,F,F,F,,F,F,,F,F,F,
"Höhen korrekt , Trieb wesentlich älter",F,F,F,T,F,F,,F,F,,F,F,F,
"im NW in 2m Entfernung steht die Buche 175 (Höchstwahrscheinlich, scheiß Farbe zur Markierung verwendet…)",F,F,T,F,F,F,,F,F,,F,F,F,
Im Plot mittig auf dem Westrand ist die 272 drin,F,F,T,F,F,F,,F,F,,F,F,F,
"ist viel zuwachs, aber korrekt",F,F,F,F,F,F,,F,F,,F,F,F,
Jhannistrieb,T,F,F,F,F,F,,F,F,,F,F,F,
Johannestrieb,T,F,F,F,F,F,,F,F,,F,F,F,
Johannestrieb womöglich,T,F,F,F,F,F,,F,F,,F,F,F,
Johannestrieb? Foto 107-1582,T,F,F,F,F,F,,F,F,,T,F,F,
Johannistrieb,T,F,F,F,F,F,,F,F,,F,F,F,
johannistrieb,T,F,F,F,F,F,,F,F,,F,F,F,
Johannistrieb womöglich,T,F,F,F,F,F,,F,F,,F,F,F,
johannistrieb?,T,F,F,F,F,F,,F,F,,F,F,F,
Johannistrieb? Nichtberücksichtigt,F,F,F,F,F,F,,F,F,,F,F,F,
"keie baeume, baum 51 in der mitte des plots",F,F,T,F,F,F,,F,T,,F,F,F,
keine  Bäume,F,F,F,F,F,F,,F,T,,F,F,F,
keine baeume,F,F,F,F,F,F,,F,T,,F,F,F,
keine baeumr,F,F,F,F,F,F,,F,T,,F,F,F,
keine baueme,F,F,F,F,F,F,,F,T,,F,F,F,
keine baume,F,F,F,F,F,F,,F,T,,F,F,F,
keine bäume,F,F,F,F,F,F,,F,T,,F,F,F,
keine Bäume,F,F,F,F,F,F,,F,T,,F,F,F,
Keine Bäume,F,F,F,F,F,F,,F,T,,F,F,F,
keine Bäume aber Brombeere auf dem Plot,F,F,F,F,T,F,,F,T,,F,F,F,
keine Bäume dafür Matsch,F,F,F,F,F,F,,F,T,,F,F,F,
"Keine Bäume, Brennessel und Buche darüber",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, Brennnesselgebiet.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, Girsch etc.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, im Zentrum leichte Erhöhung (alter Stubben, Maulwurfshügel?) voller großer Brennesseln, die den Plot alleine schon zu 2/3 ausfüllen.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, Krone umgestürzter Esche auf Plot.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, Plot komplett von dickem Baumstamm begraben. Vorhandene Verjüngung darunter abgestorben. Umgestürzter Baum ist vermutlich 16x, Riss hat letzte Ziffer ganz und mittlerehalb zerstört.",F,F,T,F,F,F,,F,F,,F,F,F,
"keine Bäume, plot liegt im Stammfuß umgestpürzten baumes",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, Plot unter sehr tiefem Buchenast.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, Plott zur gänze vom mittig wachsendem 155 ausgefüllt.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, Quadrant komplett von Erle 109 ausgefüllt.",F,F,T,F,F,F,,F,T,,F,F,F,
"keine Bäume, Referenz 36",F,F,T,F,F,F,,F,T,,F,F,F,
"Keine Bäume, sehr nahe altem Spitzahorn, Boden auffällig trocken.",F,F,F,F,F,F,,F,T,,F,F,F,
"Keine Bäume, sehr viel Brennnessel",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, sehr, sehr viel Brennnessel und ein Farn. Darüber Ist der Himmel aber frei.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, starkes Totholz füllt den Plot zur Hälfte aus. Zusätzlich durch dickes Brennnesselgestrüpp überwuchert.",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, steht fast ganz unter Wasser",F,F,F,F,F,F,,F,T,,F,F,F,
"Keine Bäume, Totholz",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, unter Hasel",F,F,F,F,T,F,,F,T,,F,F,F,
"Keine Bäume, unter toter Holunderkrone begraben",F,F,F,F,F,F,,F,T,,F,F,F,
"Keine Bäume, Wurzelalsatz von 226 ragt schon in Westen hinein, Baumzentrum also ca. 30cm  westlich der Plotmitte.",F,F,T,F,F,F,,F,T,,F,F,F,
keine Blätter,F,F,F,F,F,F,,F,T,,F,F,F,
Keine Böäume,F,F,F,F,F,F,,F,T,,F,F,F,
"keine Verjüngung, Baum 1183 im Plot",F,F,T,F,F,F,,F,T,,F,F,F,
kene baeume,F,F,F,F,F,F,,F,T,,F,F,F,
knick,F,T,F,F,F,F,,F,F,,F,F,F,
Komische Kurztriebkette.,F,F,F,F,F,F,,F,F,,F,F,F,
komplett abgestorben,F,F,F,F,F,F,,T,F,,F,F,F,
komplett tot,F,F,F,F,F,F,,T,F,,F,F,F,
Komplett tot,F,F,F,F,F,F,,T,F,,F,F,F,
"Komplett unter alter, schon verrotteter Krone begraben.",F,T,F,F,F,F,,F,F,,F,F,F,
könnte auch mit dem größten zusammenhängen,F,F,F,F,F,F,,F,F,,F,F,F,
kopfüberhängend,F,T,F,F,F,F,,F,F,,F,F,F,
korrekt!,F,F,F,F,F,F,,F,F,,F,F,F,
krebs,F,F,F,F,F,T,,F,F,,F,F,F,
Krebs,F,F,F,F,F,T,,F,F,,F,F,F,
krebs 2x,F,F,F,F,F,T,,F,F,,F,F,F,
