"","ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","x","y"
"82","23Sch",23,"Schotten",0,0,0,0,0,3,2,0,67,54,101,46,0,0,0,83.439731597825,13.2266289497793
"83","23Wei",23,"Weisweil",0,0,0,0,0,29,4,0,781.3,398,2758,76,0,0,0,402077.477500327,5342652.94197118
"84","24Huy",24,"Huy",0,0,0,0,0,90,4,41,126.2,115.5,420,53,0,3,3,65.8962990534661,85.6217401263737
"85","24Mol",24,"Mollenfelde",0,0,0,0,0,9,4,4,110,73,273,59,0,0,0,36.6772653646588,85.6547805345188
"86","24Pla",24,"Plattenwald",0,0,0,0,0,23,5,8,616.5,422,3953,64,1,1,2,490802.126659451,5429419.36938179
"87","24Sch",24,"Schotten",0,0,0,0,0,28,6,5,246.1,206.5,741,82,0,0,0,85.2059225190201,22.9950542352482
"88","24Wei",24,"Weisweil",0,0,0,0,0,82,4,1,162.1,98,2570,46,0,0,0,402087.354383733,5342654.50631583
"89","25Huy",25,"Huy",0,0,0,0,0,76,3,65,101,85,672,35,0,0,0,56.8480285288059,81.5768368565055
"90","25Mol",25,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,33.202360217918,94.9437397606594
"91","25Pla",25,"Plattenwald",0,0,0,0,0,63,4,5,140.3,119,384,69,0,1,1,490795.632178968,5429426.97344145
"92","25Sch",25,"Schotten",0,0,0,0,0,55,5,10,368.4,270,1364,89,0,2,2,86.9721134402152,32.7634795207171
"93","25Wei",25,"Weisweil",0,0,0,0,0,124,4,16,155.8,133,1390,60,0,1,1,402097.231267139,5342656.07066048
"94","26Huy",26,"Huy",0,0,0,0,0,5,2,4,46.6,50,70,20,0,0,0,47.7997580041457,77.5319335866373
"95","26Mol",26,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,42.3984298517972,98.4537449593874
"96","26Pla",26,"Plattenwald",0,0,0,0,0,56,5,2,271.1,141.5,5599,55,0,0,0,490789.137698485,5429434.57750111
"97","26Sch",26,"Schotten",0,0,1,0,0,99,5,14,206.8,137,1450,53,0,1,1,88.7383043614103,42.531904806186
"98","26Wei",26,"Weisweil",0,0,0,0,0,67,4,0,122.1,99,557,55,0,0,0,402107.108150545,5342657.63500513
"99","27Huy",27,"Huy",0,0,0,0,0,3,2,2,32.7,41,44,13,0,0,0,34.4936945638348,82.0828873151963
"100","27Mol",27,"Mollenfelde",0,0,0,0,0,4,2,2,179.5,175.5,281,86,0,0,0,45.8733349985379,89.1647857332469
"101","27Pla",27,"Plattenwald",0,0,0,0,0,36,4,1,279.5,158,1327,80,0,0,0,490782.643218001,5429442.18156076
"102","27Sch",27,"Schotten",0,0,1,0,0,8,3,0,289.5,155.5,704,96,0,0,0,90.5044952826054,52.3003300916548
"103","27Wei",27,"Weisweil",0,0,0,0,0,91,1,0,128.4,114,412,55,0,0,0,402116.985033951,5342659.19934978
"104","28Huy",28,"Huy",0,0,0,0,0,2,1,2,69.5,69.5,79,60,0,0,0,43.541965088495,86.1277905850645
"105","28Mol",28,"Mollenfelde",0,0,0,0,0,16,2,14,309.3,297.5,475,135,4,2,5,49.3482401452787,79.8758265071063
"106","28Pla",28,"Plattenwald",0,0,0,0,1,18,4,6,147.6,99,743,58,0,0,0,490776.148737518,5429449.78562042
"107","28Sch",28,"Schotten",0,0,0,0,0,34,6,3,502.9,337.5,2280,94,0,0,0,92.2706862038005,62.0687553771237
"108","28Wei",28,"Weisweil",0,0,0,0,0,21,2,0,350.8,164,1315,75,0,0,0,402126.861917357,5342660.76369443
"109","29Huy",29,"Huy",0,0,0,0,0,37,3,32,203.4,119,2427,34,0,2,2,52.5902356131552,90.1726938549327
"110","29Mol",29,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,52.8231452920194,70.5868672809657
"111","29Pla",29,"Plattenwald",0,0,0,0,0,49,6,2,229.4,149,900,54,0,0,0,490769.654257035,5429457.38968007
"112","29Sch",29,"Schotten",0,0,0,0,0,16,3,1,352.3,242,1728,95,0,0,0,94.0368771249956,71.8371806625926
"113","29Wei",29,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,402136.738800763,5342662.32803908
"114","2Huy",2,"Huy",0,0,0,0,0,20,2,19,94.8,94.5,170,32,0,0,0,110.604966983408,84.6096392089921
"115","2Mol",2,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,9.08905646302124,75.1247649383348
"116","2Pla",2,"Plattenwald",0,0,0,0,0,18,2,8,228.8,143.5,1057,74,0,0,0,490792.466436003,5429476.87312152
"117","2Sch",2,"Schotten",0,0,0,0,0,1,1,1,140,140,140,140,0,0,0,104.547404584248,19.4269917681874
"118","2Wei",2,"Weisweil",0,0,1,0,0,96,7,1,116.8,86,618,20,0,0,0,402113.365529147,5342618.12747151
"119","30Huy",30,"Huy",0,0,0,0,0,55,3,47,167.2,83,1295,37,2,3,5,61.6385061378154,94.2175971248009
"120","30Mol",30,"Mollenfelde",0,0,0,0,0,4,2,1,1267.2,661.5,3290,456,0,0,0,56.2980504387602,61.2979080548251
"121","30Pla",30,"Plattenwald",0,0,0,0,0,3,2,0,1545,158,4365,112,0,0,0,490763.159776551,5429464.99373973
"122","30Sch",30,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,95.8030680461907,81.6056059480615
"123","30Wei",30,"Weisweil",0,0,0,0,0,65,1,0,71.2,64,268,29,0,0,0,402135.174456113,5342672.20492249
"124","31Huy",31,"Huy",0,0,0,0,0,19,3,13,93.4,95,177,33,0,0,0,70.6867766624756,98.2625003946691
"125","31Mol",31,"Mollenfelde",0,0,0,0,0,2,2,1,99.5,99.5,101,98,0,0,0,59.7729555855009,52.0089488286845
"126","31Pla",31,"Plattenwald",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,490755.555716895,5429458.49925925
"127","31Sch",31,"Schotten",0,0,0,0,0,24,3,4,503.8,325.5,1801,66,0,0,0,97.5692589673858,91.3740312335304
"128","31Wei",31,"Weisweil",0,0,0,0,0,34,2,0,203,157,784,84,0,0,0,402125.297572707,5342670.64057784
"129","32Huy",32,"Huy",0,0,0,0,0,46,3,41,132.2,105,334,46,3,2,4,79.7350471871358,102.307403664537
"130","32Mol",32,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,63.2478607322416,42.7199896025439
"131","32Pla",32,"Plattenwald",0,0,0,0,0,34,5,5,250.7,130,837,62,0,0,0,490762.050197379,5429450.89519959
"132","32Sch",32,"Schotten",0,0,1,0,0,8,4,2,356.5,216.5,1104,82,0,0,0,99.3354498885809,101.142456518999
"133","32Wei",32,"Weisweil",0,0,0,0,0,38,3,0,160.9,114.5,463,71,0,0,0,402115.420689301,5342669.07623319
"134","33Huy",33,"Huy",0,0,0,0,0,62,4,42,88.5,68,290,25,0,0,0,88.783317711796,106.352306934405
"135","33Mol",33,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,66.7227658789824,33.4310303764034
"136","33Pla",33,"Plattenwald",0,0,0,0,0,26,5,2,87.8,79,203,29,1,0,1,490768.544677862,5429443.29113994
"137","33Sch",33,"Schotten",0,0,0,0,0,7,1,0,1645.9,649,5330,177,0,0,0,101.101640809776,110.910881804468
"138","33Wei",33,"Weisweil",0,0,0,0,1,4,1,0,388,384,470,314,0,0,0,402105.543805895,5342667.51188854
"139","34Huy",34,"Huy",0,0,0,0,0,7,2,6,65.9,57,113,47,0,0,0,97.8315882364562,110.397210204274
"140","34Mol",34,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,75.9188355128616,36.9410355751314
"141","34Pla",34,"Plattenwald",0,0,0,0,0,4,3,1,124.2,127.5,185,57,0,0,0,490775.039158345,5429435.68708028
"142","34Sch",34,"Schotten",0,0,0,0,0,20,7,2,382.9,220.5,1910,95,0,0,0,82.5999451711863,63.8527866106541
"143","34Wei",34,"Weisweil",0,0,0,0,0,67,3,3,331.3,180,6105,77,1,0,1,402095.666922489,5342665.94754389
"144","35Huy",35,"Huy",0,0,1,0,0,2,1,2,65,65,89,41,0,0,0,106.879858761116,114.442113474142
"145","35Mol",35,"Mollenfelde",0,0,0,0,0,6,2,5,75.8,77,94,56,0,0,0,72.4439303661208,46.229994801272
"146","35Pla",35,"Plattenwald",0,0,0,0,0,28,6,1,232.3,158,1080,83,0,0,0,490781.533638829,5429428.08302062
"147","35Sch",35,"Schotten",0,0,0,0,0,34,4,2,294,218.5,1061,90,0,0,0,80.8337542499912,54.0843613251853
"148","35Wei",35,"Weisweil",0,0,0,0,0,11,2,1,99.4,105,130,48,0,0,0,402085.790039083,5342664.38319924
"149","36Huy",36,"Huy",0,0,0,0,0,18,1,18,98.2,100,144,39,2,0,2,115.928129285777,118.48701674401
"150","36Mol",36,"Mollenfelde",0,0,0,0,0,22,5,10,72.2,62.5,174,35,0,0,0,68.9690252193801,55.5189540274126
"151","36Pla",36,"Plattenwald",0,0,0,0,0,8,3,2,179,96.5,462,66,1,1,1,490788.028119312,5429420.47896097
"152","36Sch",36,"Schotten",0,0,0,0,0,59,5,1,405.9,310,2096,73,0,0,0,79.0675633287961,44.3159360397164
"153","36Wei",36,"Weisweil",0,0,0,0,0,30,2,0,93.8,81.5,251,36,0,0,0,402075.913155677,5342662.81885459
"154","37Huy",37,"Huy",0,0,0,0,1,3,2,2,137.7,136,154,123,0,0,0,111.670336370126,127.082873742437
"155","37Mol",37,"Mollenfelde",0,0,0,0,0,1,1,1,621,621,621,621,0,0,0,65.4941200726393,64.8079132535531
"156","37Pla",37,"Plattenwald",0,0,0,0,0,24,4,1,237.2,140,1302,76,1,1,1,490794.522599795,5429412.87490131
"157","37Sch",37,"Schotten",0,0,0,0,0,25,3,0,1263.9,1053,4210,262,0,0,0,77.301372407601,34.5475107542475
"158","37Wei",37,"Weisweil",0,0,0,0,0,16,1,0,62.9,66,82,36,0,0,0,402074.348811027,5342672.69573799
"159","38Huy",38,"Huy",0,0,1,0,0,41,4,31,94.6,88,199,13,0,1,1,102.622065845466,123.037970472569
"160","38Mol",38,"Mollenfelde",0,0,0,0,0,3,2,2,234.7,234,243,227,0,1,1,62.0192149258986,74.0968724796937
"161","38Pla",38,"Plattenwald",0,0,0,0,0,3,2,0,363.3,380,450,260,0,0,0,490801.017080279,5429405.27084165
"162","38Sch",38,"Schotten",0,0,0,0,0,20,4,1,286.1,195,1440,76,0,0,0,75.5351814864059,24.7790854687786
"163","38Wei",38,"Weisweil",0,0,0,0,0,8,2,0,113.2,102.5,185,90,0,0,0,402084.225694433,5342674.26008264
"164","39Huy",39,"Huy",0,0,0,0,0,30,2,28,83.2,71.5,193,30,0,1,1,93.5737953208054,118.993067202701
"165","39Mol",39,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,58.5443097791579,83.3858317058343
"166","39Pla",39,"Plattenwald",0,0,0,0,0,5,3,1,166.8,152,304,51,0,0,0,490807.511560762,5429397.666782
"167","39Sch",39,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,73.7689905652108,15.0106601833097
"168","39Wei",39,"Weisweil",0,0,0,0,0,27,1,0,128,128,218,79,0,0,0,402094.102577839,5342675.82442729
"169","3Huy",3,"Huy",0,0,0,0,0,4,1,4,79,76.5,101,62,0,0,0,101.556696458748,80.5647359391239
"170","3Mol",3,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,12.563961609762,65.8358057121942
"171","3Pla",3,"Plattenwald",0,0,0,0,0,68,5,16,124.8,94.5,523,50,2,0,2,490798.960916486,5429469.26906187
"172","3Sch",3,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,106.313595505444,29.1954170536563
"173","3Wei",3,"Weisweil",0,0,0,0,1,18,3,0,530.6,479.5,1437,97,0,0,0,402123.242412553,5342619.69181616
"174","40Huy",40,"Huy",0,0,0,0,0,54,3,44,90.5,75,465,38,2,0,2,84.5255247961452,114.948163932833
"175","40Mol",40,"Mollenfelde",0,0,0,0,0,3,1,0,207.7,193,265,165,0,0,0,55.0694046324171,92.6747909319749
"176","40Pla",40,"Plattenwald",0,0,1,0,0,1,1,0,928,928,928,928,0,0,0,490806.401981589,5429383.56824186
"177","40Sch",40,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,64.0982495325966,16.7946914168401
"178","40Wei",40,"Weisweil",0,0,0,0,0,23,2,0,113.3,110,281,10,0,0,0,402103.979461244,5342677.38877194
"179","41Huy",41,"Huy",0,0,0,0,0,67,4,63,172.7,175,327,33,3,16,18,75.4772542714851,110.903260662964
"180","41Mol",41,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,51.5944994856764,101.963750158115
"181","41Pla",41,"Plattenwald",0,0,0,0,1,7,3,1,645.6,435,2134,218,1,1,1,490799.907501106,5429391.17230152
"182","41Sch",41,"Schotten",0,0,0,0,0,14,4,1,294.1,144.5,1136,65,0,0,0,72.9292041385721,65.6368178441846
"183","41Wei",41,"Weisweil",0,0,0,0,0,31,3,0,156,113,481,44,0,0,0,402113.85634465,5342678.95311659
"184","42Huy",42,"Huy",0,0,0,0,0,56,3,50,192.5,60.5,7160,10,0,1,1,66.4289837468249,106.858357393096
"185","42Mol",42,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,60.7905691195555,105.473755356843
"186","42Pla",42,"Plattenwald",0,0,0,0,0,4,3,1,658.5,727,987,193,1,1,1,490793.413020623,5429398.77636117
"187","42Sch",42,"Schotten",0,0,0,0,0,5,2,0,539.6,406,943,100,0,0,0,74.6953950597672,75.4052431296534
"188","42Wei",42,"Weisweil",0,0,0,0,0,16,2,0,528.4,469,990,204,0,0,0,402123.733228056,5342680.51746124
"189","43Huy",43,"Huy",0,0,0,0,0,35,3,20,149.1,98,765,49,0,0,0,57.3807132221647,102.813454123228
"190","43Mol",43,"Mollenfelde",0,0,0,0,0,6,2,0,176.2,154.5,346,68,0,0,0,64.2654742662963,96.1847961307029
"191","43Pla",43,"Plattenwald",0,0,0,0,1,2,2,1,85,85,100,70,0,0,0,490786.918540139,5429406.38042083
"192","43Sch",43,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,66.7908449483481,86.9576996486527
"193","43Wei",43,"Weisweil",0,0,0,0,1,15,1,0,155.5,159,290,46,0,0,0,402133.610111462,5342682.0818059
"194","44Huy",44,"Huy",0,0,0,0,0,19,2,17,299.9,94,2293,62,0,2,2,48.3324426975045,98.7685508533599
"195","44Mol",44,"Mollenfelde",0,0,0,0,0,2,2,1,444,444,571,317,0,0,0,67.740379413037,86.8958369045623
"196","44Pla",44,"Plattenwald",0,0,0,0,0,5,4,1,171.6,198,276,65,1,0,1,490780.424059656,5429413.98448048
"197","44Sch",44,"Schotten",0,0,0,0,0,2,2,1,590,590,880,300,0,0,0,65.024654027153,77.1892743631838
"198","44Wei",44,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,402143.486994868,5342683.64615055
"199","45Huy",45,"Huy",0,0,0,0,0,1,1,1,165,165,165,165,0,0,0,39.2841721728443,94.7236475834917
"200","45Mol",45,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,71.2152845597778,77.6068776784217
"201","45Pla",45,"Plattenwald",0,0,0,0,0,3,2,0,1757,87,5108,76,0,0,0,490773.929579173,5429421.58854014
"202","45Sch",45,"Schotten",0,0,0,0,0,64,5,3,170.3,130,1030,38,0,0,0,63.2584631059579,67.420849077715
"203","45Wei",45,"Weisweil",0,0,0,0,0,11,2,0,110.2,96,233,62,0,0,0,402141.922650218,5342693.52303395
"204","46Huy",46,"Huy",0,0,0,0,0,2,1,2,40,40,50,30,0,0,0,30.2359016481841,90.6787443136235
"205","46Mol",46,"Mollenfelde",0,0,0,0,0,1,1,1,4060,4060,4060,4060,1,1,1,74.6901897065185,68.3179184522812
"206","46Pla",46,"Plattenwald",0,0,0,0,0,11,5,1,322.8,204,981,50,1,1,1,490767.435098689,5429429.1925998
"207","46Sch",46,"Schotten",0,0,0,0,0,66,5,13,156.1,145,730,43,0,1,1,61.4922721847628,57.6524237922461
"208","46Wei",46,"Weisweil",0,0,0,0,1,1,1,0,127,127,127,127,0,0,0,402132.045766812,5342691.9586893
"209","47Huy",47,"Huy",0,0,0,0,0,5,1,5,108.2,75,259,50,1,0,1,25.9781087325334,99.2746013120507
"210","47Mol",47,"Mollenfelde",0,0,0,0,0,17,3,8,131.4,106,365,47,0,1,1,78.1650948532593,59.0289592261406
